data_id,start_id,end_id
157005,643,643
157006,644,644
157007,1304,8128
157007,1304,8294
157007,1304,1382
157007,1304,8180
157007,1304,8336
157007,1304,8295
157007,1304,1381
157007,1304,8051
157008,1320,8330
157008,1320,8238
157008,1320,8132
157008,1320,8317
157008,1320,1382
157008,1320,8309
157008,1320,8106
157008,1320,8110
157008,1320,8338
157008,1320,8122
157008,1320,1394
157008,1320,1319
157008,1320,8316
157008,1320,1391
157008,1320,8324
157008,1320,8081
157008,1320,8120
157008,1320,8328
157008,1320,8301
157008,1320,8072
157008,1320,8329
157008,1320,8312
157008,1320,8311
157008,1320,8090
157008,1320,8124
157008,1320,8302
157008,1320,8086
157008,1320,1381
157008,1320,8303
157008,1320,8240
157008,1320,1383
157008,1320,8293
157008,1320,8183
157008,1320,8275
157008,1320,8319
157008,1320,8304
157008,1320,8325
157008,1320,8098
157008,1320,8335
157008,1320,1392
157008,1320,8332
157008,1320,8241
157008,1320,1376
157008,1320,8320
157008,1320,8141
157008,1320,8116
157008,1320,8294
157008,1320,1388
157008,1320,8102
157008,1320,8239
157008,1320,1318
157008,1320,8147
157008,1320,8313
157008,1320,8308
157008,1320,8295
157008,1320,8188
157008,1320,8315
157008,1320,8100
157008,1320,8331
157008,1320,8314
157008,1320,1390
157008,1320,1379
157008,1320,8321
157008,1320,8138
157008,1320,8236
157008,1320,1389
157008,1320,8088
157008,1320,8278
157008,1320,8310
157008,1320,8323
157008,1320,8112
157008,1320,8096
157008,1320,8094
157008,1320,8134
157008,1320,8136
157008,1320,1380
157008,1320,8283
157008,1320,8126
157008,1320,1377
157008,1320,8092
157008,1320,8130
157008,1320,1375
157008,1320,8306
157008,1320,8237
157008,1320,1385
157008,1320,8143
157008,1320,8336
157008,1320,8108
157008,1320,8305
157008,1320,1378
157008,1320,8327
157008,1320,8333
157008,1320,8104
157008,1320,8114
157008,1320,8145
157008,1320,8282
157008,1320,8118
157008,1320,8180
157008,1320,8289
157008,1320,8276
157008,1320,8334
157008,1320,1393
157008,1320,8307
157008,1320,8326
157008,1320,8318
157009,1327,1327
157010,1334,8294
157010,1334,8147
157010,1334,8106
157010,1334,8319
157010,1334,8120
157010,1334,8302
157010,1334,8317
157010,1334,1381
157010,1334,1375
157010,1334,1385
157010,1334,8310
157010,1334,1380
157010,1334,8315
157010,1334,8328
157010,1334,8275
157010,1334,8318
157010,1334,1390
157010,1334,8081
157010,1334,8098
157010,1334,8334
157010,1334,8134
157010,1334,1393
157010,1334,8092
157010,1334,8330
157010,1334,8104
157010,1334,8313
157010,1334,8332
157010,1334,8096
157010,1334,8122
157010,1334,8303
157010,1334,8324
157010,1334,8295
157010,1334,8336
157010,1334,8116
157010,1334,8100
157010,1334,8314
157010,1334,8183
157010,1334,8307
157010,1334,8132
157010,1334,8312
157010,1334,8138
157010,1334,8293
157010,1334,8126
157010,1334,1394
157010,1334,8088
157010,1334,8326
157010,1334,1383
157010,1334,8327
157010,1334,1318
157010,1334,1378
157010,1334,8114
157010,1334,8124
157010,1334,8237
157010,1334,8236
157010,1334,8086
157010,1334,1382
157010,1334,8283
157010,1334,8321
157010,1334,8188
157010,1334,8110
157010,1334,1379
157010,1334,8308
157010,1334,1391
157010,1334,1392
157010,1334,8145
157010,1334,8108
157010,1334,8240
157010,1334,8316
157010,1334,8329
157010,1334,1377
157010,1334,8331
157010,1334,8333
157010,1334,8102
157010,1334,8335
157010,1334,8323
157010,1334,8130
157010,1334,8278
157010,1334,8136
157010,1334,8143
157010,1334,8238
157010,1334,8090
157010,1334,8141
157010,1334,8338
157010,1334,8239
157010,1334,8241
157010,1334,8118
157010,1334,8289
157010,1334,1319
157010,1334,8072
157010,1334,8301
157010,1334,8304
157010,1334,8311
157010,1334,8309
157010,1334,8305
157010,1334,8112
157010,1334,1376
157010,1334,8282
157010,1334,8180
157010,1334,1388
157010,1334,8320
157010,1334,8276
157010,1334,8094
157010,1334,8325
157010,1334,1389
157010,1334,8306
157011,1351,1319
157011,1351,1385
157011,1351,8295
157011,1351,8147
157011,1351,1381
157012,1356,8295
157012,1356,1381
157012,1356,8180
157013,1363,8145
157013,1363,1319
157013,1363,1385
157013,1363,8295
157013,1363,1381
157014,1395,1327
157015,1407,1407
157016,1415,8139
157016,1415,8278
157016,1415,1381
157016,1415,8295
157017,1428,8053
157018,1434,1434
157019,1441,8132
157019,1441,8295
157019,1441,8336
157019,1441,8276
157019,1441,8275
157019,1441,8136
157019,1441,8134
157019,1441,8180
157019,1441,1382
157019,1441,8294
157019,1441,1381
157020,1457,1457
157021,1462,8052
157023,8060,8060
157024,8061,8061
157025,8062,8062
157026,8063,8063
157027,8652,8310
157028,8664,8309
157029,8676,8308
157030,8688,8307
157031,8700,8306
157032,8712,8305
157033,8857,8188
157034,8865,8865
157035,8866,8183
157036,8904,8168
157037,8905,8168
157038,8910,8168
157039,8911,8911
157040,8912,8912
157041,8914,8168
157042,8935,8935
157043,8941,8941
157044,9419,8072
157045,9470,8235
157046,9471,9471
157047,9472,9472
157048,9475,8234
157049,9476,8234
157050,9478,8233
157051,9683,9683
157052,9894,9894
,,8227
,,8228
